Vertices, Edges, Kruskals, Prims
11814, 35004, 13958, 1362556
13043, 43231, 16972, 1740116
9120, 28985, 10993, 838390
6940, 21692, 8975, 518412
2953, 8086, 3556, 97314
11844, 33481, 13000, 1307175
8746, 33672, 12966, 840578
14847, 38338, 14964, 1951260
3350, 5808, 1955, 83828
13804, 31987, 11970, 1584881
11876, 42709, 16937, 1473897
13433, 29552, 10970, 1460819
4723, 21272, 7995, 276808
12002, 23743, 8995, 1121230
4527, 15001, 6013, 213092
11942, 28400, 10918, 1211767
12959, 43433, 16957, 1715447
4300, 10742, 3964, 170595
6399, 12370, 5031, 315691
5076, 16102, 6023, 260335
12007, 46857, 18931, 1564124
9285, 38096, 15954, 962888
12588, 22652, 8004, 1131432
8070, 28882, 10983, 692309
8783, 30527, 10971, 795995
3059, 29642, 11998, 158634
7288, 41039, 15957, 690624
14772, 51610, 20946, 2249976
12188, 18827, 6942, 965476
2835, 6828, 2993, 78411
14452, 16251, 5039, 1050750
9467, 16734, 10578, 654922
8096, 25501, 8004, 660104
12202, 25080, 11116, 1152122
6731, 27021, 9533, 504966
